GO	cluster	Description	NES_sol_Mu	NES_grp_Mu	category_Mu	delta_NES_Mu	NES_sol_Me	NES_grp_Me	category_Me	delta_NES_Me
GO:0000963	13	mitochondrial RNA processing	NA	1.99069837864612	group_specific	NA	NA	NA	NA	NA
GO:0032200	11	telomere organization	NA	1.81625893284074	group_specific	NA	NA	NA	NA	NA
GO:0042255	11	ribosome assembly	NA	1.85167026045927	group_specific	NA	NA	NA	NA	NA
GO:0006364	13	rRNA processing	NA	1.54577545441924	group_specific	NA	1.81816116539123	NA	solitary_specific	NA
GO:0006790	10	sulfur compound metabolic process	NA	1.50796755661472	group_specific	NA	NA	NA	NA	NA
GO:0035337	13	fatty-acyl-CoA metabolic process	NA	1.92464681252724	group_specific	NA	NA	NA	NA	NA
GO:0170033	24	L-amino acid metabolic process	NA	1.65208442393583	group_specific	NA	NA	NA	NA	NA
GO:0045785	3	positive regulation of cell adhesion	NA	-1.54628711519468	group_specific	NA	NA	NA	NA	NA
GO:0018057	13	peptidyl-lysine oxidation	NA	-1.80643271007718	group_specific	NA	NA	NA	NA	NA
GO:0002682	4	regulation of immune system process	NA	-1.38818783223795	group_specific	NA	NA	NA	NA	NA
GO:0170036	25	import into the mitochondrion	NA	1.83671429209256	group_specific	NA	NA	NA	NA	NA
GO:0040011	9	locomotion	NA	-1.40875493038048	group_specific	NA	NA	NA	NA	NA
GO:0072594	16	establishment of protein localization to organelle	NA	NA	NA	NA	1.86298617890906	1.77184607909114	shared_same_direction	-0.0911400998179202
GO:0045047	16	protein targeting to ER	NA	NA	NA	NA	2.16289325235021	NA	solitary_specific	NA
GO:0006913	18	nucleocytoplasmic transport	NA	NA	NA	NA	1.90807304245263	NA	solitary_specific	NA
GO:0016072	13	rRNA metabolic process	NA	NA	NA	NA	1.81811132913316	NA	solitary_specific	NA
GO:0008361	11	regulation of cell size	NA	NA	NA	NA	-2.00359339445051	NA	solitary_specific	NA
GO:0072521	13	purine-containing compound metabolic process	NA	NA	NA	NA	1.55712835252071	NA	solitary_specific	NA
GO:0051205	16	protein insertion into membrane	NA	NA	NA	NA	1.97883561313031	2.15994508707892	shared_same_direction	0.18110947394861
GO:0003341	3	cilium movement	NA	NA	NA	NA	-1.92996570451517	NA	solitary_specific	NA
GO:0120035	11	regulation of plasma membrane bounded cell projection organization	NA	NA	NA	NA	-1.63286530851436	NA	solitary_specific	NA
